orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Magyarország,2014,73.50,64.10,85.10,1.70,286.80,1052.10,51098.27,214349.70,81.10,133.40,15.00
Magyarország,2015,75.80,66.20,84.90,1.70,284.80,887.80,69028.77,320564.90,81.60,141.20,14.90
Magyarország,2016,78.60,68.90,85.20,1.70,283.70,897.80,71498.60,328235.40,81.60,148.20,14.50
Magyarország,2017,81.00,69.90,86.00,1.60,273.60,1020.60,77749.20,359654.90,82.10,148.30,13.40
Magyarország,2018,82.10,71.40,86.40,1.60,280.40,1124.50,84555.63,401001.30,83.30,148.50,12.80
Magyarország,2019,83.10,72.10,86.30,1.60,297.30,1126.20,87379.69,456096.70,83.60,149.70,12.30
Magyarország,2020,83.10,71.90,86.90,1.60,322.50,1138.90,93180.95,488877.40,84.20,169.10,12.30
Málta,2012,79.40,48.00,40.10,1.60,18.00,4959.32,30243.84,12012.90,36.80,3.90,15.10
Málta,2013,80.30,51.70,42.30,1.60,19.20,4959.32,32295.85,12391.00,40.50,4.20,15.80
Málta,2014,81.10,54.30,44.80,1.60,19.10,4959.32,34344.02,13110.20,44.30,4.90,15.80
Málta,2015,82.10,55.30,46.40,1.60,20.50,4959.32,37455.20,15456.70,47.20,5.30,16.60
Málta,2016,83.50,58.00,48.70,1.60,23.00,4959.32,39887.10,16634.00,50.20,4.80,16.50
Málta,2017,84.70,60.60,51.80,1.60,24.10,4959.32,42644.08,18477.30,52.10,7.10,16.70
Málta,2018,86.00,64.10,55.00,1.60,24.40,4959.32,44219.00,18812.70,55.00,7.60,16.80
Málta,2019,86.50,65.80,57.90,1.60,28.00,4959.32,45937.70,20512.80,57.70,9.20,17.10
Málta,2021,86.40,67.80,60.40,1.60,29.60,4959.32,41740.77,19489.90,60.40,9.80,16.90
Németország,2012,81.00,70.70,88.90,1.60,2708.70,3793.60,43359.61,1271274.00,84.40,1287.90,16.10
Németország,2013,81.00,71.50,88.70,1.60,2615.90,4013.30,44993.89,1276878.00,84.60,1270.60,16.10
Németország,2014,81.20,72.10,88.70,1.60,2555.80,4115.80,47011.55,1335472.00,85.10,1262.80,16.70
Németország,2015,81.20,72.60,88.50,1.60,2524.50,3540.60,47609.78,1419906.00,85.10,1244.60,16.70
Németország,2016,81.60,73.50,87.90,1.60,2476.00,3606.80,50579.68,1444277.00,85.10,1253.00,16.50
Németország,2017,82.00,74.20,87.60,1.60,2420.40,3770.00,53071.46,1540892.00,85.30,1245.50,16.10
Németország,2018,82.80,74.80,87.60,1.60,2346.30,4064.60,55235.37,1593033.00,85.60,1205.10,16.00
Németország,2019,83.50,75.50,87.60,1.70,2321.90,3966.90,55652.89,1619423.00,85.70,1180.00,18.90
Németország,2020,81.80,74.30,86.30,1.60,2052.10,4045.00,54792.06,1462090.00,85.20,1066.50,18.50
Olaszország,2012,70.60,50.10,55.60,1.50,3503.90,2997.10,36486.30,460980.70,58.80,1468.60,19.50
Olaszország,2013,68.80,49.60,56.60,1.50,3422.30,3141.30,36314.70,461783.00,59.70,1442.00,19.30
Olaszország,2014,69.00,50.10,57.60,1.50,3359.10,3158.80,36194.87,473718.70,61.00,1469.30,19.40
Olaszország,2015,70.20,50.50,58.00,1.50,3334.70,2668.00,36899.39,491905.00,61.80,1467.70,19.90
Olaszország,2016,71.50,51.60,58.10,1.50,3284.20,2684.80,39926.95,497338.50,62.20,1480.50,20.60
Olaszország,2017,72.20,52.50,58.80,1.50,3253.50,2746.90,41581.12,533719.80,63.00,1414.30,20.30
Olaszország,2018,72.90,53.20,59.70,1.50,3220.80,2908.10,43036.24,555394.10,63.80,1422.20,20.30
Olaszország,2019,73.30,53.90,59.80,1.50,3173.90,2782.60,44334.20,567784.40,64.50,1439.20,20.10
Olaszország,2020,71.80,52.10,60.50,1.50,3113.20,2658.80,41828.55,489342.10,65.10,1370.40,20.10
Portugália,2012,67.50,60.80,33.60,1.50,442.70,1734.30,26438.02,63578.70,40.70,278.30,17.90
Portugália,2013,66.60,60.50,35.50,1.50,431.00,1840.70,27936.04,67526.00,43.80,277.30,18.70
Portugália,2014,69.50,62.90,38.80,1.40,416.20,1811.80,28742.44,69595.20,47.50,243.70,19.50
Portugália,2015,71.20,64.80,41.40,1.40,388.40,1523.40,29660.90,72990.70,48.60,235.20,19.50
Portugália,2016,72.90,66.40,43.00,1.40,377.60,1525.50,31607.75,74989.10,50.50,229.90,19.00
Portugália,2017,76.20,69.00,43.30,1.50,379.80,1585.80,33044.72,83717.00,52.20,225.50,18.30
Portugália,2018,78.10,71.50,44.80,1.50,377.50,1714.70,34928.54,89143.70,54.40,225.20,17.30
Portugália,2019,79.10,72.20,47.70,1.40,389.00,1684.70,36172.07,93271.00,56.30,242.40,17.20
Portugália,2020,77.10,71.40,51.70,1.50,369.70,1757.80,34148.95,74096.90,58.80,239.60,16.20
Románia,2012,65.40,48.20,79.30,1.60,1124.50,614.90,18869.57,49808.90,71.50,422.00,22.90
Románia,2013,65.40,48.20,79.30,1.60,1114.80,673.30,19781.93,57525.10,72.10,413.70,23.00
Románia,2014,66.70,49.20,75.50,1.60,1105.20,704.60,20657.67,62434.40,70.00,410.00,25.10
Románia,2015,68.00,50.30,77.60,1.60,1049.00,638.60,21605.84,66278.20,72.40,391.90,25.40
Románia,2016,69.10,51.40,78.90,1.60,978.40,711.00,24271.47,71046.10,74.50,354.80,25.30
Románia,2017,71.30,54.00,79.70,1.60,991.00,817.80,27141.90,78910.70,76.10,364.70,23.60
Románia,2018,73.00,54.50,80.10,1.60,940.30,903.25,29309.21,85605.90,76.80,348.40,23.50
